"ID","Name","Date","Maximum.Wind","dLat","dLong","angle","direction"
"AL071880","            UNNAMED",18800908,80,18,25.5,35.2175929681927,"Northeast"
"AL081880","            UNNAMED",18800927,120,14.3,-9,122.185105891891,"Northwest"
"AL091880","            UNNAMED",18801005,70,14.3,19.6,36.1141851058139,"Northeast"
"AL101880","            UNNAMED",18801010,80,21.3,14.3,56.1241089757822,"Northeast"
"AL111880","            UNNAMED",18801020,60,23.7,11.8,63.5317321422092,"Northeast"
"AL011881","            UNNAMED",18810801,50,9,-3.30000000000001,110.136303428248,"North"
"AL031881","            UNNAMED",18810811,80,19.5,-19.5,135,"Northwest"
"AL021881","            UNNAMED",18810811,40,5.2,-10.3,153.212873270229,"Northwest"
"AL041881","            UNNAMED",18810816,70,22.8,35.5,32.7107478716403,"Northeast"
"AL051881","            UNNAMED",18810821,90,17.1,-33.4,152.888640902281,"Northwest"
"AL061881","            UNNAMED",18810907,90,17.8,0,90,"North"
"AL071881","            UNNAMED",18810918,60,18.7,46.5,21.9075519724,"East"
"AL011882","            UNNAMED",18820824,70,7.5,3,68.1985905136482,"North"
"AL021882","            UNNAMED",18820902,110,27,10,69.6768631703371,"North"
"AL031882","            UNNAMED",18820914,50,5,-3.80000000000001,127.234833981575,"Northwest"
"AL041882","            UNNAMED",18820921,50,12.5,4.30000000000001,71.0167829407738,"North"
"AL051882","            UNNAMED",18820924,70,9.2,28.8,17.7157927063769,"East"
"AL061882","            UNNAMED",18821005,120,23.6,16.5,55.0405805259534,"Northeast"
"AL011883","            UNNAMED",18830818,80,37.5,31,50.4205952837624,"Northeast"
"AL021883","            UNNAMED",18830824,110,29.2,58.3,26.6043486877287,"Northeast"
"AL031883","            UNNAMED",18830904,110,25.3,-19.4,127.480933608771,"Northwest"
"AL041883","            UNNAMED",18831022,70,28.1,61.1,24.697786255703,"Northeast"
"AL011884","            UNNAMED",18840901,70,15.1,56.4,14.988308379169,"East"
"AL021884","            UNNAMED",18840903,100,39.5,18,65.5014258085662,"Northeast"
"AL031884","            UNNAMED",18840910,80,24.3,56.1,23.42009371238,"Northeast"
"AL041884","            UNNAMED",18841007,90,13.1,18.6,35.1570778032075,"Northeast"
"AL011885","            UNNAMED",18850807,80,29.4,37.1,38.395164503246,"Northeast"
"AL021885","            UNNAMED",18850821,90,29.8,30,44.8083760338257,"Northeast"
"AL031885","            UNNAMED",18850829,50,7,14.3,26.0822330031348,"Northeast"
"AL041885","            UNNAMED",18850917,80,25.5,29.4,40.936634007067,"Northeast"
"AL051885","            UNNAMED",18850918,70,12,-2.80000000000001,103.134022306396,"North"
"AL061885","            UNNAMED",18850924,70,9.1,13.7,33.5934474160276,"Northeast"
"AL071885","            UNNAMED",18850926,80,17,-5,106.389540334035,"North"
"AL081885","            UNNAMED",18851010,60,18.1,6,71.6600689664446,"North"
"AL011886","            UNNAMED",18860613,85,8,6.69999999999999,50.0538260500644,"Northeast"
"AL021886","            UNNAMED",18860617,85,20.8,27.8,36.8038887124753,"Northeast"
"AL031886","            UNNAMED",18860627,85,19.9,4.39999999999998,77.5321776637869,"North"
"AL041886","            UNNAMED",18860714,75,38.4,63.4,31.2023770939684,"Northeast"
"AL051886","            UNNAMED",18860812,130,23,-43.3,152.023750635693,"Northwest"
"AL061886","            UNNAMED",18860815,105,29,1.19999999999999,87.6304919357447,"North"
"AL071886","            UNNAMED",18860820,100,16.6,41.5,21.8014094863518,"East"
"AL081886","            UNNAMED",18860916,85,9,-31.5,164.054604099077,"West"
"AL091886","            UNNAMED",18860922,85,9.3,-3.40000000000003,110.081977484181,"North"
"AL101886","            UNNAMED",18861008,105,13.3,-10.4,128.023803522955,"Northwest"
"AL111886","            UNNAMED",18861010,45,5.9,14.6,22.0041059739166,"East"
