"ID","Name","Date","Maximum.Wind","dLat","dLong","angle","direction"
"EP051970","          FRANCESCA",19700701,85,6.9,-35.5,169.000779119554,"West"
"EP061970","           GRETCHEN",19700714,45,3.3,-13.6,166.360947947628,"West"
"EP071970","              HELGA",19700716,50,5.7,-6.09999999999999,136.941486390914,"Northwest"
"EP081970","IONE 2",19700722,45,7.7,-12.6,148.570434385162,"Northwest"
"EP091970","IONE 1",19700724,50,3,-0.699999999999989,103.134022306396,"North"
"EP101970","              JOYCE",19700729,50,1.8,-16.1,173.620751832387,"West"
"EP111970","            KRISTEN",19700805,45,7.7,-13.2,149.743562836471,"Northwest"
"EP121970","           LORRAINE",19700816,85,8.8,-45.7,169.100523315805,"West"
"EP131970","             MAGGIE",19700820,50,4.6,-28.7,170.894151458549,"West"
"EP141970","              NORMA",19700831,50,10.3,-10.2,134.720510609455,"Northwest"
"CP011970","                DOT",19700901,70,15.2,2,82.5041423602702,"North"
"EP151970","             ORLENE",19700907,55,3.5,3.30000000000001,46.6846843178962,"Northeast"
"EP161970","           PATRICIA",19701004,95,6.6,-34.7,169.230877811996,"West"
"EP171970","            ROSALIE",19701021,45,6.5,-5.29999999999998,129.193273094468,"Northwest"
"EP181970","              SELMA",19701101,60,8.2,-2.90000000000001,109.476575498932,"North"
"EP011971","             AGATHA",19710521,85,7.7,-9.79999999999995,141.842773412631,"Northwest"
"EP021971","            BRIDGET",19710614,85,8.5,-20.3,157.280002718542,"Northwest"
"EP031971","           CARLOTTA",19710702,75,9.4,-27.6,161.192198872965,"West"
"EP041971","             DENISE",19710702,120,5.4,-57.3,174.616298323188,"West"
"EP051971","            ELEANOR",19710707,50,2.2,-24,174.762523933187,"West"
"EP061971","          FRANCESCA",19710718,100,4,-23.3,170.258771471605,"West"
"EP071971","          GEORGETTE",19710720,50,6.6,-27.2,166.360947947628,"West"
"EP081971","             HILARY",19710726,85,11.1,-32.6,161.196763819038,"West"
"EP091971","               ILSA",19710731,100,10.4,-28.9,160.208144326669,"West"
"EP101971","              JEWEL",19710806,60,5.4,-15.9,161.241349652158,"West"
"EP111971","            KATRINA",19710808,55,11.9,-11.1,133.007906427034,"Northwest"
"EP121971","               LILY",19710828,75,7.7,-11.8,146.873849102374,"Northwest"
"EP131971","             MONICA",19710829,100,11.5,-6.19999999999999,118.33045808554,"Northwest"
"EP141971","            NANETTE",19710903,85,8.8,-22.1,158.288045209914,"West"
